id,name,canonical_description,property_group
318,Url,"The web address to go to when the link is clicked. Must be a valid URL that uses `http://`, `https://`, or other safe protocols. For security, the control blocks URLs that use `javascript:` or other unsafe schemes.",
319,Step,"The increment or decrement amount when users click the step up or down buttons. Default is 1.",
320,Precision,"The number of decimal places to display and allow. Accepts `DecimalPrecision` enum values:",
321,Indeterminate,"Set the bar to determinate or indeterminate. In the indeterminate state the value property and max property aren't honored.",
322,ProgressColor,"For determinate state only, the color prop can be used to indicate a ""brand"" state (default), ""error"" state (red), ""warning"" state (orange), or ""success"" state (green). For indeterminate state, ProgressColor falls back to BasePaletteColor regardless of selected color.",
323,Thickness,"The thickness of the progress bar. Current options are only medium and large.",
324,LabelPosition,"Where the label is positioned relative to the spinner.",
325,SpinnerSize,"The size of the spinner.",
326,NoDataText,"The message shown to a user when there are no records to show in the Table control.",
327,ReflowBehavior,"The default responsive behavior of the table. Reflow means the table displays in tabular form when the control is 480 or more pixels wide and transitions to a list format in narrower conditions. GridOnly (or ListOnly) means the table always displays in a tabular (or list) format regardless of the control width, and you can use Power Fx formulas to create your own breakpoints for defining the responsive behavior of the table.",
328,EnableSorting,"Allows users to sort the data in the table by using dropdowns from the column headers for supported data types.",
329,EnableRangeSelection,"Whether users can select a portion of the table to copy its values. Default is Yes.",
330,HeaderFont,"The font of the column headings.",
331,HeaderFontSize,"The font size of the column headings.",
332,HeaderFontColor,"The text color for the column headings.",
333,HeaderFontWeight,"The font weight of the column headings.",
334,ShowAvatar,"Whether the user’s avatar appears or is hidden in the list mode.",
335,ShowColumnHeaders,"Whether the column headers appear or are hidden.",
336,ShowFooter,"Whether the footer appears or is hidden.",
337,Alignment,"The alignment and positioning of the entire tab list. Accepts `TabListAlignment` enum values:",
338,TriggerOutput,"Controls when the Text output property updates. Accepts `TriggerOutput` enum values:",
339,LabelPostion,"The text shown next to the toggle can be placed before, after, or above the toggle.",
340,RadioSize,"The size of the radio button circles in pixels.",
341,RadioBackgroundFill,"The background fill color of the radio button circles.",
342,RadioBorderColor,"The border color of the radio button circles.",
343,RadioSelectionFill,"The fill color of the inner circle when a radio button is selected.",
